File1,File2,Similarity Score
10.html,7.html,0.29099011421203613
10.html,8.html,0.38378041982650757
10.html,9.html,0.48072004318237305
11.html,12.html,0.6299842596054077
11.html,13.html,0.26666662096977234
11.html,14.html,0.15615032613277435
11.html,15.html,0.5871312618255615
11.html,16.html,0.32990482449531555
11.html,17.html,0.45820024609565735
11.html,18.html,0.5011281371116638
11.html,19.html,0.3300185799598694
11.html,2.html,0.411853164434433
11.html,20.html,0.2782832086086273
11.html,21.html,0.3420374095439911
11.html,22.html,0.4590725600719452
11.html,23.html,0.21762248873710632
11.html,24.html,0.22615793347358704
11.html,25.html,0.3105354309082031
11.html,26.html,0.5802868604660034
11.html,27.html,0.5367547273635864
11.html,28.html,0.48425328731536865
11.html,29.html,0.35055822134017944
11.html,3.html,0.3720436692237854
11.html,30.html,0.4878120422363281
11.html,31.html,0.6556188464164734
11.html,32.html,0.26249346137046814
11.html,33.html,0.2697109580039978
11.html,34.html,0.3876846730709076
11.html,35.html,0.49363821744918823
11.html,36.html,0.2696618437767029
11.html,37.html,0.3775118887424469
11.html,38.html,0.39290279150009155
11.html,39.html,0.675000786781311
11.html,4.html,0.6698874831199646
11.html,40.html,0.5835928916931152
11.html,41.html,0.651035487651825
11.html,5.html,0.7204294204711914
11.html,6.html,0.3726787269115448
11.html,7.html,0.11974244564771652
11.html,8.html,0.6735713481903076
11.html,9.html,0.17850349843502045
12.html,13.html,0.18655019998550415
12.html,14.html,0.15186339616775513
12.html,15.html,0.654928982257843
12.html,16.html,0.2079024612903595
12.html,17.html,0.1793290078639984
12.html,18.html,0.41637489199638367
12.html,19.html,0.21907687187194824
12.html,2.html,0.25547900795936584
12.html,20.html,0.16706329584121704
12.html,21.html,0.13247770071029663
12.html,22.html,0.3583866357803345
12.html,23.html,0.29583609104156494
12.html,24.html,0.20048177242279053
12.html,25.html,0.12973415851593018
12.html,26.html,0.4877290725708008
12.html,27.html,0.34997981786727905
12.html,28.html,0.5992926955223083
12.html,29.html,0.1848851442337036
12.html,3.html,0.289390504360199
12.html,30.html,0.30191463232040405
12.html,31.html,0.43680813908576965
12.html,32.html,0.22416487336158752
12.html,33.html,0.27942508459091187
12.html,34.html,0.1905980110168457
12.html,35.html,0.5546094179153442
12.html,36.html,0.2807480990886688
12.html,37.html,0.22385269403457642
12.html,38.html,0.2656099200248718
12.html,39.html,0.6885784268379211
12.html,4.html,0.449736624956131
12.html,40.html,0.47083255648612976
12.html,41.html,0.38543906807899475
12.html,5.html,0.6708669662475586
12.html,6.html,0.2102324664592743
12.html,7.html,0.13415029644966125
12.html,8.html,0.44278520345687866
12.html,9.html,0.21556596457958221
13.html,14.html,0.2659054696559906
13.html,15.html,0.1281943917274475
13.html,16.html,0.24339377880096436
13.html,17.html,0.1487005650997162
13.html,18.html,0.3707461357116699
13.html,19.html,0.19676709175109863
13.html,2.html,0.31160128116607666
13.html,20.html,0.09145814180374146
13.html,21.html,0.5111023783683777
13.html,22.html,0.2828797698020935
13.html,23.html,0.17267557978630066
13.html,24.html,0.2939448058605194
13.html,25.html,0.29949289560317993
13.html,26.html,0.3696426749229431
13.html,27.html,0.2957010269165039
13.html,28.html,0.21204569935798645
13.html,29.html,0.3468398153781891
13.html,3.html,0.17577123641967773
13.html,30.html,0.3179599940776825
13.html,31.html,0.29732680320739746
13.html,32.html,0.25893402099609375
13.html,33.html,0.21060121059417725
13.html,34.html,0.1860623061656952
13.html,35.html,0.3176228702068329
13.html,36.html,0.04873184859752655
13.html,37.html,0.32755157351493835
13.html,38.html,0.4262619614601135
13.html,39.html,0.3715445101261139
13.html,4.html,0.2500159740447998
13.html,40.html,0.3444010615348816
13.html,41.html,0.44897422194480896
13.html,5.html,0.23795640468597412
13.html,6.html,0.48884910345077515
13.html,7.html,0.35732120275497437
13.html,8.html,0.23661047220230103
13.html,9.html,0.16486164927482605
14.html,15.html,0.29525747895240784
14.html,16.html,0.2740417420864105
14.html,17.html,0.08114130795001984
14.html,18.html,0.2718826234340668
14.html,19.html,0.25158390402793884
14.html,2.html,0.24867752194404602
14.html,20.html,0.29256224632263184
14.html,21.html,0.34630221128463745
14.html,22.html,0.4780677556991577
14.html,23.html,0.5045790672302246
14.html,24.html,0.44896283745765686
14.html,25.html,0.3931698799133301
14.html,26.html,0.2802606225013733
14.html,27.html,0.19413495063781738
14.html,28.html,0.3614373803138733
14.html,29.html,0.32420819997787476
14.html,3.html,0.12453567981719971
14.html,30.html,0.25026392936706543
14.html,31.html,0.2591415047645569
14.html,32.html,0.3641771674156189
14.html,33.html,0.1508597880601883
14.html,34.html,0.1654873490333557
14.html,35.html,0.3158106803894043
14.html,36.html,0.3135141134262085
14.html,37.html,0.04638495296239853
14.html,38.html,0.3330308198928833
